,10,50,100,200,300,400,10_24hr,50_24hr,100_24hr,200_24hr,300_24hr,400_24hr
wind,807.9319432136173,699.2970036864014,688.5283165196009,680.7626798434093,678.9409366170572,678.6213579172517,1930.7413284522238,1677.630812096226,1640.471483920135,1634.67690231036,1620.8384833566577,1622.9622472035378
photovoltaic,182.1810765299847,161.70462364816876,158.7397856870442,157.2894244580699,156.51448507513317,156.66800577964088,298.4906976201287,261.659160081344,256.3960730391683,254.81045767791863,253.6054642629151,254.28999312671826
